       image 		     Num    x                y            n   m
       B3_7.JPG              35     -2.65994080      0.35057395   0   M
       B3_7.JPG              36     -1.78181568     -2.17986894   0   M
       B3_7.JPG              75      0.31507143     -0.01151138   0   M
       B3_7.JPG              77      0.19528751     -1.18023706   0   M
       B3_8.JPG              21     -1.30073979      1.97165519   0   M
       B3_8.JPG              22     -1.53487226      2.17880701   0   M
       B3_8.JPG              24     -0.99872603      1.94086184   0   M
       B3_8.JPG              26     -2.70440098      1.42878950   0   M
       B3_8.JPG              31     -1.02601281      1.38208010   0   M
       B3_8.JPG              32     -1.12075923      0.90573364   0   M
       B3_8.JPG              33     -0.24281677      1.43007649   0   M
       B3_8.JPG              35     -3.01601996     -0.15620812   0   M
       B3_8.JPG              75      0.37081643     -0.35379160   0   M
       B3_8.JPG              77      0.25379715     -1.73759445   0   M
       B3_9.JPG              21     -1.39111274      1.82195250   0   M
       B3_9.JPG              22     -1.63374523      2.05879653   0   M
       B3_9.JPG              24     -1.08093014      1.75838529   0   M
       B3_9.JPG              26     -2.91864706      1.22442722   0   M
       B3_9.JPG              31     -1.11460514      1.12171036   0   M
       B3_9.JPG              32     -1.24382315      0.51962123   0   M
       B3_9.JPG              33     -0.25121993      1.17548274   0   M
      B3_10.JPG              21     -1.49954163      1.67202335   0   M
      B3_10.JPG              22     -1.74807185      1.94439178   0   M
      B3_10.JPG              24     -1.18054956      1.56910343   0   M
      B3_10.JPG              31     -1.23560741      0.82892915   0   M
      B3_10.JPG              32     -1.42330399      0.04445232   0   M
      B3_10.JPG              33     -0.26576154      0.89026435   0   M
      B3_10.JPG              75      0.48421233     -1.27721711   0   M
